latitude,longitude,heighting,angle_deg,depth_cgr,feature_identification,anomaly_dim_class,depth,length,width,erf_b31g
16.840875,81.7561497,-25.759,182.50000000000003,0.0,Pipe mill anomaly,AXSL,2.54,30.0,18.0,0.91
16.8408825,81.7559886,-24.375,122.99999999999999,0.0,Pipe mill anomaly,PINH,2.54,16.0,18.0,0.91
16.8412572,81.7452886,10.089,217.99999999999997,0.0,Pipe mill anomaly,PITT,1.72,25.0,19.0,0.91
16.8427458,81.7320806,10.394,122.49999999999996,0.0,Pipe mill anomaly,PITT,1.72,57.0,32.0,0.91
16.8456406,81.71855,9.422,269.49999999999994,0.0,Pipe mill anomaly,PITT,2.07,63.0,56.0,0.91
16.8453503,81.7179053,9.752,217.5,0.0,Pipe mill anomaly,AXGR,2.07,70.0,25.0,0.91
16.8487467,81.7031403,8.675,122.99999999999999,0.0,Pipe mill anomaly,CISL,1.72,17.0,18.0,0.91
16.8504322,81.6973725,10.708,49.49999999999999,0.0,Pipe mill anomaly,PITT,1.72,29.0,18.0,0.91
16.8504411,81.6973414,10.746,65.0,0.0,Pipe mill anomaly,AXGR,1.72,41.0,20.0,0.91
16.8512931,81.6853503,10.826,35.0,0.0,Pipe mill anomaly,PITT,1.72,24.0,21.0,0.91
16.8505444,81.6772492,8.236,149.0,0.0,Corrosion,AXSL,2.54,44.0,18.0,0.91
16.8505444,81.6772489,8.236,144.0,0.0,Corrosion cluster,AXSL,2.54,133.0,23.0,0.92
16.8505133,81.6768722,8.482,308.0,0.0,Pipe mill anomaly,AXGR,1.72,46.0,23.0,0.91
16.8504742,81.6736825,7.615,103.50000000000004,0.0,Pipe mill anomaly,PITT,1.72,33.0,20.0,0.91
16.8504578,81.6725803,8.259,184.00000000000003,0.0,Pipe mill anomaly,PITT,1.72,37.0,22.0,0.91
16.8501467,81.6695922,8.047,302.5,0.0,Pipe mill anomaly,PITT,1.72,37.0,19.0,0.91
16.8494864,81.6630531,8.406,235.5,0.0,Pipe mill anomaly,PITT,1.72,30.0,18.0,0.91
16.8515706,81.6388228,7.265,227.50000000000003,0.0,Pipe mill anomaly,AXSL,2.54,42.0,24.0,0.91
16.8512783,81.6287689,10.521,281.5,0.0,Pipe mill anomaly,PITT,1.72,31.0,19.0,0.91
16.8507739,81.6050178,13.1,250.00000000000003,0.0,Pipe mill anomaly,PITT,1.72,30.0,18.0,0.91
16.8516569,81.594455,11.913,83.99999999999999,0.0,Pipe mill anomaly,PITT,1.72,26.0,20.0,0.91
16.8518475,81.5928692,12.798,70.5,0.0,Pipe mill anomaly,PITT,1.72,55.0,38.0,0.91
16.8523281,81.5742394,15.099,72.49999999999999,0.0,Pipe mill anomaly,PITT,1.72,33.0,22.0,0.91
16.8524086,81.5655589,17.213,214.0,0.0,Pipe mill anomaly,PITT,1.72,26.0,22.0,0.91
16.8525814,81.5504819,15.305,90.5,0.0,Pipe mill anomaly,AXGR,1.72,36.0,18.0,0.91
